malware,alias
fakeupdates,fakeupdate
cobalt strike,agentemis
quasar rat,cinarat
dcrat,darkcrystal rat
orcus rat,schnorchel
havoc,havokiz
lumma stealer,lummac2 stealer
mirai,katana
loki password stealer  pws,burkina
shadowpad,poisonplug shadow
nanocore rat,nancrat
qakbot,oakboat
redline stealer,recordstealer
warmcookie,badspace
remcos,remcosrat
azorult,puffstealer
netsupportmanager rat,netsupport
njrat,bladabindi
ave maria,ave maria
bumblebee,coldtrain
coper,exobotcompact
plugx,destroy rat
ghost rat,farfli
darkcomet,breut
bashlite,gayfgt
gootloader,slowpour
gozi,crm
chalubo,chachaddos
latrodectus,blackwidow
crimson rat,seedoor
satacom,legionloader
sectoprat,1xxbot
solarmarker,jupyter
brute ratel c4,boldbadger
fakeupdates,socgholish
cobalt strike,beacon
quasar rat,quasarrat
loki password stealer  pws,loki
shadowpad,xshellghost
nanocore rat,nanocore
qakbot,pinkslipbot
warmcookie,quickbind
remcos,remvio
azorult,rultazo
njrat,lime worm
ave maria,avemariarat
bumblebee,shellsting
coper,octo
plugx,kaba
ghost rat,gh0st rat
darkcomet,fynloski
bashlite,gafgyt
gozi,gozi crm
latrodectus,icenova
crimson rat,scarimson
sectoprat,arechclient
solarmarker,polazert
brute ratel c4,bruteratel
cobalt strike,cobaltstrike
quasar rat,yggdrasil
loki password stealer  pws,lokibot
qakbot,qbot
remcos,socmer
ave maria,warzone rat
bumblebee,shindig
plugx,korplug
ghost rat,pcrat
darkcomet,klovbot
bashlite,qbot
gozi,papras
latrodectus,latrodectus
solarmarker,yellow cockatoo
cobalt strike,cobeacon
loki password stealer  pws,lokipws
qakbot,quakbot
ave maria,warzonerat
plugx,sogu
bashlite,torlus
gozi,snifula
latrodectus,lotus
ave maria,avemaria
plugx,tigerplug
bashlite,lizkebab
gozi,ursnif
plugx,reddelta
bashlite,bashlite
bianlian,bianlian
warmcookie,warmcookie
socks5 systemz,socks5 systemz
blacknet rat,blacknet rat
darkcomet,darkcomet
gozi,gozi
chalubo,chalubo
havoc,havoc
unknown malware,unknown malware
fakeupdates,fakeupdates
meduza stealer,meduza stealer
gobrat,gobrat
loki password stealer  pws,loki password stealer  pws
kaiji,kaiji
cobalt strike,cobalt strike
venom rat,venom rat
ares,ares
smartloader,smartloader
lightspy,lightspy
lokibot,lokibot
nanocore rat,nanocore rat
netsupportmanager rat,netsupportmanager rat
asyncrat,asyncrat
empire downloader,empire downloader
shadowpad,shadowpad
lumma stealer,lumma stealer
sliver,sliver
blueshell,blueshell
danabot,danabot
poshc2,poshc2
sectoprat,sectoprat
northstar,northstar
ermac,ermac
orcus rat,orcus rat
remcos,remcos
copybara,copybara
azorult,azorult
rhadamanthys,rhadamanthys
njrat,njrat
solarmarker,solarmarker
brute ratel c4,brute ratel c4
pupy,pupy
mozi,mozi
hook,hook
coper,coper
vidar,vidar
moobot,moobot
stealc,stealc
mirai,mirai
bumblebee,bumblebee
satacom,satacom
ghost rat,ghost rat
amadey,amadey
qakbot,qakbot
quasar rat,quasar rat
scrubcrypt,scrubcrypt
plugx,plugx
nimplant,nimplant
purecrypter,purecrypter
gootloader,gootloader
redline stealer,redline stealer
dcrat,dcrat
crimson rat,crimson rat
asyncrat,asyncrat exe
quasar rat,exe quasarrat
socks5 systemz,socks5systemz
lumma stealer,lummastealer
rhadamanthys,rhadamanthys spam ita
loki password stealer  pws,loki remcosrat
rhadamanthys,exe rhadamanthys
remcos,exe remcosrat
rhadamanthys,lnk rhadamanthys
azorult,pif stealer
cobalt strike,cobaltstrike shellcode
asyncrat,asyncrat xworm
remcos,remcosrat rev base64 loader
loki password stealer  pws,loki remcosrat rev base64 loader
mirai,mirai ua wget
mirai,mirai mozi
bumblebee,bumblebee msi
bumblebee,bumblebee lnk zip
lumma stealer,exe lummastealer
netsupportmanager rat,netsupport netsupportrat smartapesg zip
netsupportmanager rat,netsupportrat smartapesg zip
bashlite,bash wget
asyncrat,asyncrat iso
remcos,rat remcosrat
asyncrat,asyncrat exe xworm
redline stealer,braodo stealer
asyncrat,asyncrat purecrypter
lumma stealer,lummastealer rhadamanthys
brute ratel c4,bruteratel deu geofenced latrodectus msi
brute ratel c4,bruteratel js latrodectus
venom rat,venomrat
mirai,mirai opendir sh
stealc,stealer trojan
asyncrat,asyncrat pw qau741 qau741
mirai,mirai script
cobalt strike,agenttesla
mirai,mirai sh sora
bashlite,gafgyt sc on sh snype
mirai,mirai sh webserverpirata
meduza stealer,meduza meduzastealer
mirai,mirai opendir sh ua wget
redline stealer,exe redlinestealer
mirai,mirai sh
mirai,mirai py
mirai,mirai sh ua wget
darkcomet,darkgate
asyncrat,asyncrat opendir
fakeupdates,fakeupdate lnk ua wget
asyncrat,asyncrat exe github
azorult,infostealer
asyncrat,asyncrat hg71yg3 pw hg71yg3
bashlite,gafgyt mirai
cobalt strike,cobaltstrike exe opendir
cobalt strike,cobalt strike cobaltstrike exe opendir
mirai,mirai py ua wget
venom rat,xenorat
azorult,py stealer
remcos,hta remcosrat
asyncrat,asyncrat mac741 pw mac741
quasar rat,exe quasarrat zip
kaiji,kaiji opendir sh
asyncrat,asyncrat g2024fg pw g2024fg
asyncrat,asyncrat gy73vf5 pw gy73vf5
asyncrat,asyncrat python zip
asyncrat,asyncrat python strelastealer zip
bumblebee,sh
asyncrat,asyncrat pw tup875 tup875
asyncrat,asyncrat rev base64 loader
njrat,njrat rev base64 loader
asyncrat,asyncrat gt63fr4 pw gt63fr4
remcos,remcos remcosrat vbs
sectoprat,arechclient2
lumma stealer,lummastealer meduzastealer
redline stealer,encoded stealer
asyncrat,asyncrat base64 encoded exe rev base64 loader
asyncrat,asyncrat base64 bitbucket encoded exe rev base64 loader
asyncrat,asyncrat opendir vbs
gootloader,guloader
remcos,rat remcos vbs
havoc,hta loki
cobalt strike,agenttesla hta
asyncrat,asyncrat multas2024 pw multas2024
asyncrat,asyncrat fiscalia2024 pw fiscalia2024
sliver,silverfox
cobalt strike,cobaltstrike exe
cobalt strike,cobaltstrike malware
cobalt strike,cobaltstrike malware opendir
asyncrat,asyncrat pw gt79df3
ghost rat,gh0strat malware open dir
danabot,danabot malware open dir
cobalt strike,cobalt strike malware open dir
cobalt strike,agenttesla exe
brute ratel c4,bruteforce hacktool portscan tar
asyncrat,asyncrat pw 12nov2024esm svg
asyncrat,asyncrat pw 06nov2024esm svg
asyncrat,asyncrat pw 07nov2024esm svg
asyncrat,asyncrat pw 05nov2024esm svg
asyncrat,asyncrat pw 29oct2024esm svg
cobalt strike,cobaltstrike exe malware
fakeupdates,fakecaptcha lummastealer
mirai,mirai opendir sh webserverpirata
rhadamanthys,js rhadamanthys
asyncrat,asyncrat wsgidav xworm
asyncrat,asyncrat strelastealer wsgidav xworm
asyncrat,asyncrat strelastealer xworm
mirai,mirai perl py tsunami webserverpirata
mirai,mirai opendir sh webserverpirata yakuza
asyncrat,asyncrat pw lop852
lumma stealer,lumma zip
cobalt strike,cobaltstrike ua wget
scrubcrypt,script
lumma stealer,lummastealer rel1gitiger cyou
bashlite,gafgyt isis opendir sh
cobalt strike,agenttesla vbs
netsupportmanager rat,netsupport netsupportmodules netsupportrat netsupportratmodules zip
asyncrat,asyncrat pw xcv321 xcv321
bashlite,gafgyt sc on sh
dcrat,dcrat opendir
latrodectus,backdoor
smartloader,astraloader
ghost rat,gh0strat keylogger
bashlite,gafgyt ua wget
stealc,stealc vidar
amadey,amadey strelastealer
asyncrat,asyncrat rev base64 loader txt
nanocore rat,nanocore rev base64 loader txt
loki password stealer  pws,loki rev base64 loader
lumma stealer,jar lummastealer
amadey,32 amadey exe
mirai,mirai opendir sh ub8ehjsepafc9fyqzit6
bumblebee,shellscript
cobalt strike,cobaltstrike loki remcosrat
cobalt strike,c2 cobaltstrike opendir
asyncrat,asyncrat exe opendir
cobalt strike,cobaltstrike dll github
asyncrat,asyncrat docx
asyncrat,asyncrat encoded exe rev base64 loader reverse base64
cobalt strike,cobaltstrike hta remcosrat
cobalt strike,cobaltstrike hta
mirai,mirai shellscript
bashlite,gafgyt sh
asyncrat,asyncrat jasonrat
bashlite,gafgyt sh ua wget
asyncrat,asyncrat lop963 pw lop963
amadey,amadey stealc
cobalt strike,cobalt strike opendir
cobalt strike,cobaltstrike opendir
remcos,32 exe remcosrat
mirai,mirai sh ua wget yakuza
bianlian,bin
amadey,amadey associated with amadey c2
quasar rat,quasarrat redlinestealer
asyncrat,asyncrat opendir rev base64 loader
nanocore rat,nanocore opendir rev base64 loader
asyncrat,asyncrat base64 rev base64 loader
bumblebee,shell sliver
lumma stealer,marsstealer
redline stealer,redlinestealer reflectiveloader
cobalt strike,cobalt strike metasploit opendir
asyncrat,asyncrat bitbucket
asyncrat,asyncrat growtopia
