ID_ENTRY,source,ioc,ioc_type,threat_type,malware,first_seen,last_seen,reporter,reference
1354318,Threat Fox,https://motionless-temper.cyou/api,url,botnet,lumma stealer,2024-12-10 13:45:59,2024-12-10 13:45:59,abuse_ch,https://malpedia.caad.fkie.fraunhofer.de/details/win.lumma
1354317,Threat Fox,https://adjust-cheek.cyou/api,url,botnet,lumma stealer,2024-12-10 13:40:07,2024-12-10 13:40:07,abuse_ch,https://malpedia.caad.fkie.fraunhofer.de/details/win.lumma
1354313,Threat Fox,https://dechromo.com/wsjr617h.js,url,payload_delivery,fakeupdates,2024-12-10 13:32:55,2024-12-10 13:32:55,monitorsg,https://malpedia.caad.fkie.fraunhofer.de/details/js.fakeupdates
1354314,Threat Fox,dechromo.com,domain,payload_delivery,fakeupdates,2024-12-10 13:32:54,2024-12-10 13:32:54,monitorsg,https://malpedia.caad.fkie.fraunhofer.de/details/js.fakeupdates
1354315,Threat Fox,https://dechromo.com/js.php,url,payload_delivery,fakeupdates,2024-12-10 13:32:54,2024-12-10 13:32:54,monitorsg,https://malpedia.caad.fkie.fraunhofer.de/details/js.fakeupdates
1354316,Threat Fox,160.25.73.25:6426,ip:port,botnet,remcos,2024-12-10 13:10:57,2024-12-10 13:10:57,abuse_ch,https://malpedia.caad.fkie.fraunhofer.de/details/win.remcos
1354312,Threat Fox,212.162.149.91:2404,ip:port,botnet,remcos,2024-12-10 12:55:57,2024-12-10 12:55:57,abuse_ch,https://malpedia.caad.fkie.fraunhofer.de/details/win.remcos
1354311,Threat Fox,https://shirk-home.cyou/api,url,botnet,lumma stealer,2024-12-10 12:55:51,2024-12-10 12:55:51,abuse_ch,https://malpedia.caad.fkie.fraunhofer.de/details/win.lumma
1354133,Threat Fox,115.69.183.222:37593,ip:port,botnet,xworm,2024-12-10 12:49:24,2024-12-10 12:49:24,lontze7,https://malpedia.caad.fkie.fraunhofer.de/details/win.xworm
1354306,Threat Fox,https://as4d768db37e5e2f5a7fbc0fe1fee5b311.com/YzhkZjQwNDRkN2Uy/,url,botnet,coper,2024-12-10 12:49:24,2024-12-10 12:49:24,myonium1,https://malpedia.caad.fkie.fraunhofer.de/details/apk.coper
1354307,Threat Fox,https://4d768db37e5e2f5a7fbc0fe1fee5b311.com/YzhkZjQwNDRkN2Uy/,url,botnet,coper,2024-12-10 12:49:23,2024-12-10 12:49:23,myonium1,https://malpedia.caad.fkie.fraunhofer.de/details/apk.coper
1354308,Threat Fox,https://44768db37e5e2f5a7fbc0fe1fee5b311.com/YzhkZjQwNDRkN2Uy/,url,botnet,coper,2024-12-10 12:49:23,2024-12-10 12:49:23,myonium1,https://malpedia.caad.fkie.fraunhofer.de/details/apk.coper
1354309,Threat Fox,https://466db37e5e2f5a7fbc0fe1fee5b311.com/YzhkZjQwNDRkN2Uy/,url,botnet,coper,2024-12-10 12:49:23,2024-12-10 12:49:23,myonium1,https://malpedia.caad.fkie.fraunhofer.de/details/apk.coper
1354310,Threat Fox,77.90.185.55:1912,ip:port,botnet,redline stealer,2024-12-10 10:40:15,2024-12-10 11:02:07,abuse_ch,https://malpedia.caad.fkie.fraunhofer.de/details/win.redline_stealer
1354305,Threat Fox,https://94.156.68.229:8080/rootmd50ma/panelcgfuzwxleg9kdxnvy3rv/gate/,url,botnet,,2024-12-10 09:57:39,2024-12-10 09:57:39,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354304,Threat Fox,https://94.156.68.229:80/builderxxxzzz/gate/,url,botnet,,2024-12-10 09:57:38,2024-12-10 09:57:38,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354303,Threat Fox,https://94.156.67.164:8080/rootmd50ma/panelcgfuzwxleg9kdxnvy3rv/index.php?action=settings/,url,botnet,,2024-12-10 09:57:36,2024-12-10 09:57:36,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354302,Threat Fox,https://94.156.64.29:8080/rootmd50ma/panelcgfuzwxleg9kdxnvy3rv/gate/,url,botnet,,2024-12-10 09:57:34,2024-12-10 09:57:34,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354301,Threat Fox,https://94.156.64.29:80/builderxxxzzz/gate/,url,botnet,,2024-12-10 09:57:33,2024-12-10 09:57:33,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354300,Threat Fox,https://94.156.104.71:8080/rootmd50ma/panelcgfuzwxleg9kdxnvy3rv/gate/,url,botnet,,2024-12-10 09:57:32,2024-12-10 09:57:32,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354299,Threat Fox,https://94.156.104.71:80/builderxxxzzz/gate/,url,botnet,,2024-12-10 09:57:31,2024-12-10 09:57:31,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354298,Threat Fox,https://94.103.125.223/builderxxxzzz/gate/,url,botnet,,2024-12-10 09:57:30,2024-12-10 09:57:30,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354297,Threat Fox,https://94.103.125.223:8080/rootmd50ma/panelcgfuzwxleg9kdxnvy3rv/gate/,url,botnet,,2024-12-10 09:57:28,2024-12-10 09:57:28,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354296,Threat Fox,https://94.103.125.223:8080/rootmd50ma/panelcgfuzwxleg9kdxnvy3rv/,url,botnet,,2024-12-10 09:57:27,2024-12-10 09:57:27,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354295,Threat Fox,https://94.103.125.223:80/builderxxxzzz/gate/,url,botnet,,2024-12-10 09:57:26,2024-12-10 09:57:26,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354294,Threat Fox,https://94.103.125.223:80/builderxxxzzz/,url,botnet,,2024-12-10 09:57:24,2024-12-10 09:57:24,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354293,Threat Fox,https://94.103.125.179/builderxxxzzz/gate/,url,botnet,,2024-12-10 09:57:23,2024-12-10 09:57:23,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354292,Threat Fox,https://94.103.125.179:8080/rootmd50ma/panelcgfuzwxleg9kdxnvy3rv/gate/,url,botnet,,2024-12-10 09:57:22,2024-12-10 09:57:22,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354291,Threat Fox,https://94.103.125.179:80/builderxxxzzz/gate/,url,botnet,,2024-12-10 09:57:21,2024-12-10 09:57:21,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354290,Threat Fox,https://93.123.39.123:8080/rootmd50ma/panelcgfuzwxleg9kdxnvy3rv/gate/,url,botnet,,2024-12-10 09:57:19,2024-12-10 09:57:19,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354289,Threat Fox,https://93.123.39.123:80/builderxxxzzz/gate/,url,botnet,,2024-12-10 09:57:18,2024-12-10 09:57:18,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354288,Threat Fox,https://93.123.109.166:8080/rootmd50ma/panelcgfuzwxleg9kdxnvy3rv/gate/,url,botnet,,2024-12-10 09:57:17,2024-12-10 09:57:17,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354287,Threat Fox,https://93.123.109.166:80/builderxxxzzz/gate/,url,botnet,,2024-12-10 09:57:15,2024-12-10 09:57:15,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354286,Threat Fox,https://91.92.255.65/rootmd50ma/panelcgfuzwxleg9kdxnvy3rv/gate/,url,botnet,,2024-12-10 09:57:14,2024-12-10 09:57:14,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354285,Threat Fox,https://91.92.255.65:8080/rootmd50ma/panelcgfuzwxleg9kdxnvy3rv/gate/,url,botnet,,2024-12-10 09:57:13,2024-12-10 09:57:13,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354284,Threat Fox,https://91.92.255.65:8080/rootmd50ma/panelcgfuzwxleg9kdxnvy3rv/,url,botnet,,2024-12-10 09:57:11,2024-12-10 09:57:11,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354283,Threat Fox,https://91.92.255.65:80/builderxxxzzz/gate/,url,botnet,,2024-12-10 09:57:10,2024-12-10 09:57:10,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354282,Threat Fox,https://91.92.255.65:80/builderxxxzzz/,url,botnet,,2024-12-10 09:57:09,2024-12-10 09:57:09,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354281,Threat Fox,https://91.92.251.212:8080/rootmd50ma/panelcgfuzwxleg9kdxnvy3rv/,url,botnet,,2024-12-10 09:57:08,2024-12-10 09:57:08,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354280,Threat Fox,https://91.92.251.212:80/builderxxxzzz/,url,botnet,,2024-12-10 09:57:07,2024-12-10 09:57:07,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354279,Threat Fox,https://91.92.247.32:8080/rootmd50ma/panelcgfuzwxleg9kdxnvy3rv/gate/,url,botnet,,2024-12-10 09:57:05,2024-12-10 09:57:05,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354278,Threat Fox,https://91.92.247.32:80/builderxxxzzz/gate/,url,botnet,,2024-12-10 09:57:04,2024-12-10 09:57:04,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354277,Threat Fox,https://91.92.242.11:8080/rootmd50ma/panelcgfuzwxleg9kdxnvy3rv/gate/,url,botnet,,2024-12-10 09:57:02,2024-12-10 09:57:02,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354276,Threat Fox,https://91.92.242.11:8080/rootmd50ma/panelcgfuzwxleg9kdxnvy3rv/,url,botnet,,2024-12-10 09:57:01,2024-12-10 09:57:01,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354275,Threat Fox,https://91.92.242.11:80/builderxxxzzz/gate/,url,botnet,,2024-12-10 09:57:00,2024-12-10 09:57:00,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354274,Threat Fox,https://91.92.242.11:80/builderxxxzzz/,url,botnet,,2024-12-10 09:56:59,2024-12-10 09:56:59,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354273,Threat Fox,https://91.92.241.171:8080/rootmd50ma/panelcgfuzwxleg9kdxnvy3rv/,url,botnet,,2024-12-10 09:56:58,2024-12-10 09:56:58,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354272,Threat Fox,https://91.92.241.171:80/builderxxxzzz/,url,botnet,,2024-12-10 09:56:56,2024-12-10 09:56:56,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354271,Threat Fox,https://87.237.54.239:8080/rootmd50ma/panelcgfuzwxleg9kdxnvy3rv/,url,botnet,,2024-12-10 09:56:55,2024-12-10 09:56:55,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354270,Threat Fox,https://87.237.54.239:80/builderxxxzzz/,url,botnet,,2024-12-10 09:56:54,2024-12-10 09:56:54,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354269,Threat Fox,https://87.120.114.189:8080/rootmd50ma/panelcgfuzwxleg9kdxnvy3rv/gate/,url,botnet,,2024-12-10 09:56:53,2024-12-10 09:56:53,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354268,Threat Fox,https://87.120.114.189:80/builderxxxzzz/gate/,url,botnet,,2024-12-10 09:56:51,2024-12-10 09:56:51,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354267,Threat Fox,https://85.31.47.238:8080/rootmd50ma/panelcgfuzwxleg9kdxnvy3rv/gate/,url,botnet,,2024-12-10 09:56:50,2024-12-10 09:56:50,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354266,Threat Fox,https://85.31.47.238:80/builderxxxzzz/gate/,url,botnet,,2024-12-10 09:56:49,2024-12-10 09:56:49,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354265,Threat Fox,https://80.76.51.220:8080/rootmd50ma/panelcgfuzwxleg9kdxnvy3rv/gate/,url,botnet,,2024-12-10 09:56:48,2024-12-10 09:56:48,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354264,Threat Fox,https://80.76.51.220:8080/rootmd50ma/panelcgfuzwxleg9kdxnvy3rv/,url,botnet,,2024-12-10 09:56:46,2024-12-10 09:56:46,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354263,Threat Fox,https://80.76.51.220:80/builderxxxzzz/gate/,url,botnet,,2024-12-10 09:56:45,2024-12-10 09:56:45,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
1354262,Threat Fox,https://80.76.51.220:80/builderxxxzzz/,url,botnet,,2024-12-10 09:56:43,2024-12-10 09:56:43,abus3reports,https://malpedia.caad.fkie.fraunhofer.de/details/unknown
