ID_ENTRY,source,tag
1350234,Threat Fox,amazon 02
1350234,Threat Fox,as16509
1350234,Threat Fox,censys
1350234,Threat Fox,c2
1351644,Threat Fox,phishing
1351644,Threat Fox,as35916
1351644,Threat Fox,censys
1351644,Threat Fox,multa asn1
1351644,Threat Fox,gophish
1351645,Threat Fox,gophish
1351645,Threat Fox,phishing
1351645,Threat Fox,as14061
1351645,Threat Fox,digitalocean asn
1351645,Threat Fox,censys
1351646,Threat Fox,phishing
1351646,Threat Fox,as24940
1351646,Threat Fox,censys
1351646,Threat Fox,hetzner as
1351646,Threat Fox,gophish
1351647,Threat Fox,digitalocean asn
1351647,Threat Fox,gophish
1351647,Threat Fox,censys
1351647,Threat Fox,phishing
1351647,Threat Fox,as14061
1351648,Threat Fox,as45090
1351648,Threat Fox,censys
1351648,Threat Fox,gophish
1351648,Threat Fox,phishing
1351649,Threat Fox,gophish
1351649,Threat Fox,phishing
1351649,Threat Fox,as16509
1351649,Threat Fox,censys
1351649,Threat Fox,amazon 02
1351701,Threat Fox,censys
1351701,Threat Fox,gophish
1351701,Threat Fox,phishing
1351701,Threat Fox,as63949
1351702,Threat Fox,as37963
1351702,Threat Fox,gophish
1351702,Threat Fox,censys
1351702,Threat Fox,phishing
1351703,Threat Fox,gophish
1351703,Threat Fox,phishing
1351703,Threat Fox,as14061
1351703,Threat Fox,censys
1351703,Threat Fox,digitalocean asn
1351704,Threat Fox,censys
1351704,Threat Fox,google
1351704,Threat Fox,as15169
1351704,Threat Fox,phishing
1351704,Threat Fox,gophish
1351705,Threat Fox,phishing
1351705,Threat Fox,censys
1351705,Threat Fox,hvc as
1351705,Threat Fox,gophish
1351705,Threat Fox,as29802
1351706,Threat Fox,gophish
1351706,Threat Fox,phishing
1351706,Threat Fox,censys
1351706,Threat Fox,ovh
1351706,Threat Fox,as16276
1351707,Threat Fox,gophish
1351707,Threat Fox,as41079
1351707,Threat Fox,censys
1351707,Threat Fox,cf gda
1351707,Threat Fox,phishing
1351708,Threat Fox,amazon aes
1351708,Threat Fox,censys
1351708,Threat Fox,phishing
1351708,Threat Fox,as14618
1351708,Threat Fox,gophish
1351709,Threat Fox,censys
1351709,Threat Fox,as20473
1351709,Threat Fox,gophish
1351709,Threat Fox,as vultr
1351709,Threat Fox,phishing
1351710,Threat Fox,phishing
1351710,Threat Fox,as vultr
1351710,Threat Fox,censys
1351710,Threat Fox,gophish
1351710,Threat Fox,as20473
1351711,Threat Fox,phishing
1351711,Threat Fox,censys
1351711,Threat Fox,google cloud platform
1351711,Threat Fox,gophish
1351711,Threat Fox,as396982
1351712,Threat Fox,as398101
1351712,Threat Fox,gophish
1351712,Threat Fox,censys
1351712,Threat Fox,go daddy com llc
1351712,Threat Fox,phishing
1351713,Threat Fox,phishing
1351713,Threat Fox,censys
1351713,Threat Fox,gophish
1351713,Threat Fox,as18225
1351714,Threat Fox,phishing
1351714,Threat Fox,digitalocean asn
1351714,Threat Fox,censys
1351714,Threat Fox,as14061
1351714,Threat Fox,gophish
1351715,Threat Fox,digitalocean asn
1351715,Threat Fox,as14061
1351715,Threat Fox,gophish
1351715,Threat Fox,censys
1351715,Threat Fox,phishing
1351716,Threat Fox,as14061
1351716,Threat Fox,digitalocean asn
1351716,Threat Fox,censys
1351716,Threat Fox,gophish
1351716,Threat Fox,phishing
1351717,Threat Fox,censys
1351717,Threat Fox,phishing
1351717,Threat Fox,as18403
1351717,Threat Fox,gophish
1351718,Threat Fox,censys
1351718,Threat Fox,as20473
1351718,Threat Fox,gophish
1351718,Threat Fox,as vultr
1351718,Threat Fox,phishing
1351719,Threat Fox,as13335
1351719,Threat Fox,cloudflarenet
1351719,Threat Fox,phishing
1351719,Threat Fox,evilgophish
1351719,Threat Fox,censys
1351720,Threat Fox,c2
1351720,Threat Fox,as62005
1351720,Threat Fox,bv eu as
1351720,Threat Fox,censys
1351721,Threat Fox,c2
1351721,Threat Fox,nybula
1351721,Threat Fox,censys
1351721,Threat Fox,as401116
1351722,Threat Fox,twc 20001 pacwest
1351722,Threat Fox,as20001
1351722,Threat Fox,censys
1351722,Threat Fox,c2
